date,windchill,DTR
180128,-11.56409192,8.1
180129,-15.0867868,6.9
180130,-0.26137176,10.6
180131,0.07543056,5.2
180201,-1.3062496,10
180202,0.27281344,11.4
180203,-22.63897816,8.3
180204,-19.8124308,7.6
180205,-18.8098888,6.7
180206,-20.61012504,7
180207,-4.416288,11.8
180208,1.32058848,11.7
180209,6.26505696,11.4
180210,-7.180686,10.1
180211,-12.11525848,7.3
180212,-11.74381744,7.8
180213,-5.55313344,11.7
180214,0.3458324,9.4
180215,-4.087522,7.7
180216,-1.84436904,10.4
180217,-9.7238888,8.5
180218,4.23878432,10.1
180219,5.0316568,8.7
180220,-2.179586,7.9
180221,-2.97508088,8.9
180222,0.17306424,9.3
180223,5.10947632,8.9
180224,2.00950336,8.3
180225,3.90502632,9.5
180226,6.86906856,13.6
180227,10.69938352,6.3
180228,4.9817928,6
180301,-12.06452784,7.3
180302,2.6214668,12.1
180303,10.9125204,16.3
180304,14.03755184,4.3
180305,5.952234,10.1
180306,7.0825228,12
180307,7.94016768,8.5
180308,5.53164816,7
180309,7.634662,8.2
180310,4.9817928,9
180311,6.9226752,9.5
180312,11.4811328,13.3
180313,14.13571488,13.6
180314,17.5523384,8.5
180315,13.02056736,8.2
180316,8.17022216,8.6
180317,9.6592216,13.5
180318,12.60465456,7.1
180319,6.28688,4.2
180320,-2.57638168,7.5
180321,4.10697688,4.2
180322,4.21926552,11
180323,6.5991948,10.7
180324,7.73525664,9.1
180325,11.68012288,12.3
180326,12.2863976,12.8
180327,15.76736952,12.3
180328,14.4471632,9.6
180329,17.83988976,9.3
180330,16.93083744,12.1
180331,15.4526864,10.8
180401,18.3359056,6.8
180402,20.09657664,8.8
180403,18.96654192,6.3
180404,14.81942864,8.7
180405,8.2165968,2.8
180406,0.52877232,5.6
180407,-7.18831952,7.2
180408,5.35868968,7.3
180409,12.81047496,15.3
180410,11.6528244,15
180411,9.9364552,8.6
180412,12.25575672,12.8
180413,18.01477232,11
180414,10.6249048,7.3
180415,8.5135172,8.6
180416,14.08961504,13.9
180417,14.29171384,13.3
180418,13.76399904,13.1
180419,15.4526864,13.1
180420,21.50468928,15.3
180421,20.41320552,13.3
180422,19.4431652,10.3
180423,9.16462264,2.3
180424,15.34020696,7.2
180425,17.3718296,17.6
180426,15.77333336,12.1
180427,17.83961496,13.6
180428,16.6270872,11.2
180429,17.77463152,13.5
180430,21.59016448,10.9
180501,22.9634704,5.5
180502,16.61365896,11
180503,9.30450816,7.8
180504,12.89510488,11.2
